CouncillorId,CouncillorName,Active,GenderAsString,CantonAbbreviation,ParlGroupAbbreviation,PartyAbbreviation,MaritalStatusText,DateJoining,DateLeaving,DateOfBirth,DateOfDeath
4066,Quadranti Rosmarie,False,f,ZH,BD,PBD,veuf/veuve,12/5/2011,11/29/2015,7/18/1957,
4067,Brand Heinz,False,m,GR,V,UDC,marié(e),12/5/2011,11/29/2015,9/6/1955,
4069,Feri Yvonne,False,f,AG,S,PSS,,12/5/2011,11/29/2015,3/21/1966,
4070,Candinas Martin,False,m,GR,CE,PDC,marié(e),12/5/2011,11/29/2015,8/20/1980,
4071,Gasche Urs,False,m,BE,BD,PBD,,12/5/2011,11/29/2015,3/15/1955,
4072,Regazzi Fabio,False,m,TI,CE,PDC,célibataire,12/5/2011,11/29/2015,6/22/1962,
4073,Pantani Roberta,False,f,TI,V,Lega,marié(e),12/5/2011,11/29/2015,9/19/1965,
4074,Fridez Pierre-Alain,False,m,JU,S,PSS,marié(e),12/5/2011,11/29/2015,11/20/1957,
4076,Hadorn Philipp,False,m,SO,S,PSS,marié(e),12/5/2011,11/29/2015,2/6/1967,
4077,Feller Olivier,False,m,VD,RL,PLR,,12/5/2011,11/29/2015,8/30/1974,
4079,Derder Fathi,False,m,VD,RL,PLR,,12/5/2011,11/29/2015,12/4/1970,
4082,Guhl Bernhard,False,m,AG,BD,PBD,marié(e),12/5/2011,11/29/2015,6/10/1972,
4083,Grossen Jürg,False,m,BE,GL,pvl,marié(e),12/5/2011,11/29/2015,8/24/1969,
4084,Pezzatti Bruno,False,m,ZG,RL,PLR,marié(e),12/5/2011,11/29/2015,3/4/1951,
4085,Vogler Karl,False,m,OW,CE,csp-ow,marié(e),12/5/2011,11/29/2015,3/24/1956,
4086,Buttet Yannick,False,m,VS,CE,PDC,,12/5/2011,11/29/2015,7/12/1977,
4087,Gschwind Jean-Paul,False,m,JU,CE,PDC,marié(e),12/5/2011,11/29/2015,10/31/1952,
4090,Amaudruz Céline,False,f,GE,V,UDC,,12/5/2011,11/29/2015,3/15/1979,
4091,Reynard Mathias,False,m,VS,S,PSS,célibataire,12/5/2011,11/29/2015,9/7/1987,
4093,Glättli Balthasar,False,m,ZH,G,PES,marié(e),12/5/2011,11/29/2015,2/12/1972,
4094,Hess Lorenz,False,m,BE,BD,PBD,marié(e),12/5/2011,11/29/2015,6/28/1961,
4095,Rytz Regula,False,f,BE,G,PES,,12/5/2011,11/29/2015,3/2/1962,
4096,Gmür Alois,False,m,SZ,CE,PDC,marié(e),12/5/2011,11/29/2015,4/3/1955,
4097,Müller Leo,False,m,LU,CE,PDC,marié(e),12/5/2011,11/29/2015,7/4/1958,
4098,Keller Peter,False,m,NW,V,UDC,,12/5/2011,11/29/2015,4/22/1971,
4100,Rösti Albert,False,m,BE,V,UDC,marié(e),12/5/2011,11/29/2015,8/7/1967,
4101,Bulliard-Marbach Christine,False,f,FR,CE,PDC,marié(e),12/5/2011,11/29/2015,10/13/1959,
4102,Bertschy Kathrin,False,f,BE,GL,pvl,,12/5/2011,11/29/2015,7/2/1979,
4103,Hausammann Markus,False,m,TG,V,UDC,marié(e),12/5/2011,11/29/2015,9/20/1964,
4106,Naef Martin,False,m,ZH,S,PSS,,12/5/2011,11/29/2015,11/10/1970,
4107,Amarelle Cesla,False,f,VD,S,PSS,,12/5/2011,11/29/2015,9/14/1973,
4108,Chevalley Isabelle,False,f,VD,GL,pvl,,12/5/2011,11/29/2015,4/13/1972,
4109,Piller Carrard Valérie,False,f,FR,S,PSS,marié(e),12/5/2011,11/29/2015,9/9/1978,
4110,Egloff Hans,False,m,ZH,V,UDC,,12/5/2011,11/29/2015,11/27/1959,
4113,Tornare Manuel,False,m,GE,S,PSS,célibataire,12/5/2011,11/29/2015,4/20/1951,
4114,Knecht Hansjörg,False,m,AG,V,UDC,marié(e),12/5/2011,11/29/2015,3/24/1960,
4115,Schwaab Jean Christophe,False,m,VD,S,PSS,,12/5/2011,11/29/2015,8/23/1979,
4116,Gössi Petra,False,f,SZ,RL,PLR,,12/5/2011,11/29/2015,1/12/1976,
4118,Lohr Christian,False,m,TG,CE,PDC,célibataire,12/5/2011,11/29/2015,4/5/1962,
4120,Romano Marco,False,m,TI,CE,PDC,marié(e),12/5/2011,11/29/2015,11/6/1982,
4121,Gysi Barbara,False,f,SG,S,PSS,célibataire,12/12/2011,11/29/2015,5/14/1964,
4123,Schneider Schüttel Ursula,False,f,FR,S,PSS,marié(e),5/29/2012,11/29/2015,11/26/1961,
4124,Schilliger Peter,False,m,LU,RL,PLR,marié(e),9/10/2012,11/29/2015,6/1/1959,
4125,Rutz Gregor,True,m,ZH,V,UDC,marié(e),11/30/2015,,10/12/1972,
4128,Trede Aline,False,f,BE,G,PES,marié(e),3/4/2013,11/29/2015,8/26/1983,
4129,Herzog Verena,False,f,TG,V,UDC,marié(e),3/4/2013,11/29/2015,2/7/1956,
4130,Masshardt Nadine,False,f,BE,S,PSS,,3/4/2013,11/29/2015,10/4/1984,
4131,Friedl Claudia,False,f,SG,S,PSS,,3/4/2013,11/29/2015,7/19/1960,
4134,Munz Martina,False,f,SH,S,PSS,marié(e),9/9/2013,11/29/2015,12/26/1955,
4135,Clottu Raymond,False,m,NE,V,UDC,,9/9/2013,11/29/2015,12/18/1967,
4137,Golay Roger,False,m,GE,-,MCR,marié(e),12/2/2013,11/29/2015,9/23/1959,
4138,Barazzone Guillaume,False,m,GE,CE,PDC,,12/9/2013,11/29/2015,1/13/1982,
4140,Merlini Giovanni,False,m,TI,RL,PLR,,3/10/2014,11/29/2015,5/27/1962,
4141,Portmann Hans-Peter,False,m,ZH,RL,PLR,lié(e) par un partenariat enregistré,5/7/2014,11/29/2015,2/22/1963,
4142,Walti Beat,False,m,ZH,RL,PLR,marié(e),6/2/2014,11/29/2015,11/22/1968,
4143,Ruiz Rebecca Ana,False,f,VD,S,PSS,,6/2/2014,11/29/2015,2/4/1982,
4144,Matter Thomas,False,m,ZH,V,UDC,,6/2/2014,11/29/2015,3/23/1966,
4146,Siegenthaler Heinz,False,m,BE,BD,PBD,,11/24/2014,11/29/2015,10/11/1955,
4149,Häsler Christine,False,f,BE,G,PES,,6/8/2015,11/29/2015,1/11/1963,
4154,Addor Jean-Luc,True,m,VS,V,UDC,marié(e),11/30/2015,,4/22/1964,
4155,Arnold Beat,True,m,UR,V,UDC,marié(e),11/30/2015,,4/24/1978,
4156,Buffat Michaël,True,m,VD,V,UDC,marié(e),11/30/2015,,9/27/1979,
4157,Bühler Manfred,True,m,BE,V,UDC,,11/30/2015,,4/10/1979,
4158,Burgherr Thomas,True,m,AG,V,UDC,marié(e),11/30/2015,,8/1/1962,
4159,Chiesa Marco,True,m,TI,V,UDC,,11/30/2015,,10/10/1974,
4160,Dettling Marcel,True,m,SZ,V,UDC,marié(e),11/30/2015,,2/1/1981,
4161,Glarner Andreas,True,m,AG,V,UDC,séparé(e),11/30/2015,,10/9/1962,
4162,Grüter Franz,True,m,LU,V,UDC,marié(e),11/30/2015,,7/29/1963,
4163,Hess Erich,True,m,BE,V,UDC,célibataire,11/30/2015,,3/25/1981,
4164,Imark Christian,True,m,SO,V,UDC,marié(e),11/30/2015,,1/29/1982,
4165,Keller-Inhelder Barbara,True,f,SG,V,UDC,marié(e),11/30/2015,,8/24/1968,
4166,Köppel Roger,True,m,ZH,V,UDC,marié(e),11/30/2015,,3/21/1965,
4167,Martullo-Blocher Magdalena,True,f,GR,V,UDC,marié(e),11/30/2015,,8/13/1969,
4168,Nicolet Jacques,True,m,VD,V,UDC,,11/30/2015,,10/24/1965,
4169,Page Pierre-André,True,m,FR,V,UDC,,11/30/2015,,4/19/1960,
4170,Ruppen Franz,True,m,VS,V,UDC,célibataire,11/30/2015,,2/24/1971,
4172,Salzmann Werner,True,m,BE,V,UDC,marié(e),11/30/2015,,11/5/1962,
4173,Sollberger Sandra,True,f,BL,V,UDC,marié(e),11/30/2015,,10/27/1973,
4174,Steinemann Barbara,True,f,ZH,V,UDC,,11/30/2015,,6/18/1976,
4175,Tuena Mauro,True,m,ZH,V,UDC,,11/30/2015,,1/25/1972,
4176,Vogt Hans-Ueli,True,m,ZH,V,UDC,,11/30/2015,,12/5/1969,
4177,Walliser Bruno,True,m,ZH,V,UDC,,11/30/2015,,4/11/1966,
4178,Zanetti Claudio,True,m,ZH,V,UDC,,11/30/2015,,6/16/1967,
4179,Zuberbühler David,True,m,AR,V,UDC,marié(e),11/30/2015,,2/20/1979,
4180,Ammann Thomas,True,m,SG,C,PDC,marié(e),11/30/2015,,7/13/1964,
4181,Gmür-Schönenberger Andrea,True,f,LU,C,PDC,marié(e),11/30/2015,,7/17/1964,
4182,Béglé Claude,True,m,VD,C,PDC,marié(e),11/30/2015,,12/4/1949,
4183,Marchand-Balet Géraldine,True,f,VS,C,PDC,,11/30/2015,,1/18/1971,
4184,Arslan Sibel,True,f,BS,G,BastA,,11/30/2015,,6/23/1980,
4185,Fricker Jonas,False,m,AG,G,PES,,11/30/2015,11/26/2017,3/30/1977,
4186,Mazzone Lisa,True,f,GE,G,PES,,11/30/2015,,1/25/1988,
4187,Bauer Philippe,True,m,NE,RL,PLR,marié(e),11/30/2015,,4/9/1962,
4188,Borloz Frédéric,True,m,VD,RL,PLR,marié(e),11/30/2015,,4/22/1966,
4189,Burkart Thierry,True,m,AG,RL,PLR,,11/30/2015,,8/21/1975,
4190,Dobler Marcel,True,m,SG,RL,PLR,marié(e),11/30/2015,,8/29/1980,
4191,Genecand Benoît,True,m,GE,RL,PLR,marié(e),11/30/2015,,1/28/1964,
4192,Hess Hermann,False,m,TG,RL,PLR,,11/30/2015,11/26/2017,12/22/1951,
4193,Nantermod Philippe,True,m,VS,RL,PLR,marié(e),11/30/2015,,3/27/1984,
4194,Wehrli Laurent,True,m,VD,RL,PLR,marié(e),11/30/2015,,6/4/1965,
4195,Fehlmann Rielle Laurence,True,f,GE,S,PSS,marié(e),11/30/2015,,9/11/1955,
4196,Guldimann Tim,False,m,ZH,S,PSS,,11/30/2015,3/14/2018,9/19/1950,
4197,Marti Min Li,True,f,ZH,S,PSS,,11/30/2015,,6/1/1974,
4198,Meyer Mattea,True,f,ZH,S,PSS,célibataire,11/30/2015,,11/9/1987,
4199,Seiler Graf Priska,True,f,ZH,S,PSS,marié(e),11/30/2015,,8/29/1968,
4200,Campell Duri,True,m,GR,BD,PBD,marié(e),11/30/2015,,4/5/1963,
4201,de la Reussille Denis,True,m,NE,G,PdT,,11/30/2015,,10/24/1960,
4202,Sauter Regine,True,f,ZH,RL,PLR,,11/30/2015,,4/16/1966,
4203,Barrile Angelo,True,m,ZH,S,PSS,lié(e) par un partenariat enregistré,12/8/2015,,8/22/1976,
4208,Jauslin Matthias Samuel,True,m,AG,RL,PLR,marié(e),11/30/2015,,4/20/1962,
4209,Bigler Hans-Ulrich,True,m,ZH,RL,PLR,marié(e),12/8/2015,,4/5/1958,
4212,Egger Thomas,True,m,VS,C,CSPO,célibataire,6/15/2017,,8/15/1967,
4213,Bendahan Samuel,True,m,VD,S,PSS,,6/15/2017,,6/11/1980,
4214,Gugger Niklaus-Samuel,True,m,ZH,C,PEV,,11/27/2017,,5/1/1970,
